nombre,superficie,poblacion,continente
Andorra,468,77006,Europa
Emiratos Árabes Unidos,82880,9630959,Asia
Afganistán,647500,37172386,Asia
Antigua y Barbuda,443,96286,América del Norte
Anguilla,102,13254,América del Norte
Albania,28748,2866376,Europa
Armenia,29800,3084400,Asia
Angola,1246700,30809762,África
Antártida,14000000,0,Antártida
Argentina,2766890,44494502,América del Sur
Samoa Americana,199,55465,Oceanía
Austria,83858,8847037,Europa
Australia,7686850,24992369,Oceanía
Aruba,193,105845,América del Norte
Islas Aland,1580,26711,Europa
Azerbaiyán,86600,10224900,Asia
Bosnia y Herzegovina,51129,3323929,Europa
Barbados,431,286641,América del Norte
Bangladés,144000,161356039,Asia
Bélgica,30510,11422068,Europa
Burkina Faso,274200,19751535,África
Bulgaria,110910,7000039,Europa
Baréin,665,1569439,Asia
Burundi,27830,11175378,África
Benín,112620,11485048,África
San Bartolomé,21,8450,América del Norte
Bermudas,53,63968,América del Norte
Brunéi,5770,428962,Asia
Bolivia,1098580,11353142,América del Sur
Brasil,8511965,209469333,América del Sur
Bahamas,13940,385640,América del Norte
Bután,47000,754394,Asia
Isla Bouvet,49,0,Antártida
Botsuana,600370,2254126,África
Bielorrusia,207600,9485386,Europa
Belice,22966,383071,América del Norte
Canadá,9984670,37058856,América del Norte
Islas Cocos (Keeling),14,628,Asia
República Democrática del Congo,2345410,84068091,África
República Centroafricana,622984,4666377,África
República del Congo,342000,5244363,África
Suiza,41290,8516543,Europa
Costa de Marfil,322460,25069229,África
Cook Islands,240,21388,Oceanía
Chile,756950,18729160,América del Sur
Camerún,475440,25216237,África
China,9596960,1411778724,Asia
Colombia,1138910,49648685,América del Sur
Costa Rica,51100,4999441,América del Norte
Cuba,110860,11338138,América del Norte
Cabo Verde,4033,543767,África
Curazao,444,159849,América del Norte
Isla de Navidad,135,1500,Oceanía
Chipre,9250,1189265,Europa
Chequia,78866,10625695,Europa
Alemania,357021,82927922,Europa
Yibuti,23000,958920,África
Dinamarca,43094,5797446,Europa
Dominica,754,71625,América del Norte
